Date,Open,High,Low,Close,Adj Close,Volume
2023-08-04,1501.949951,1507.349976,1470.750000,1486.300049,1485.362915,2703607
2023-08-07,1498.000000,1512.250000,1485.000000,1508.400024,1507.448975,1228780
2023-08-08,1509.500000,1520.300049,1492.900024,1515.750000,1514.794312,1409271
2023-08-09,1525.000000,1529.750000,1505.000000,1516.599976,1515.643799,1065831
2023-08-10,1512.550049,1529.750000,1505.099976,1519.400024,1518.442017,900666
2023-08-11,1518.949951,1521.800049,1497.650024,1504.000000,1503.051758,792201
2023-08-14,1496.000000,1497.949951,1467.050049,1482.050049,1481.115601,1549409
2023-08-16,1482.000000,1482.000000,1463.000000,1469.849976,1468.923218,834135
2023-08-17,1473.000000,1480.000000,1465.400024,1476.849976,1475.918823,1048714
2023-08-18,1470.000000,1478.300049,1456.000000,1460.150024,1459.229370,1053734
2023-08-21,1455.000000,1484.500000,1451.000000,1478.300049,1477.368042,1498685
2023-08-22,1485.000000,1494.000000,1464.349976,1467.800049,1466.874634,1557523
2023-08-23,1474.000000,1474.000000,1458.050049,1470.099976,1469.173096,961649
2023-08-24,1480.000000,1492.000000,1465.000000,1468.599976,1467.674072,847606
2023-08-25,1468.599976,1509.500000,1465.650024,1503.900024,1502.951782,3624097
2023-08-28,1513.500000,1514.000000,1487.000000,1499.900024,1498.954346,1066459
2023-08-29,1509.849976,1514.000000,1497.250000,1503.449951,1502.502075,1377001
2023-08-30,1510.000000,1518.849976,1499.000000,1501.500000,1500.553345,700372
2023-08-31,1501.050049,1507.800049,1480.199951,1488.900024,1487.961304,1542837
2023-09-01,1494.000000,1518.699951,1487.349976,1514.500000,1513.545166,904596
2023-09-04,1521.000000,1525.949951,1506.050049,1510.099976,1509.147827,685689
2023-09-05,1512.000000,1519.800049,1506.000000,1510.449951,1509.497559,1298151
2023-09-06,1510.949951,1522.449951,1504.199951,1518.199951,1517.242676,712220
2023-09-07,1524.800049,1524.800049,1510.099976,1519.550049,1518.591919,647590
2023-09-08,1530.000000,1558.800049,1525.050049,1541.000000,1540.028442,2168354
2023-09-11,1549.500000,1552.000000,1540.000000,1549.699951,1548.722900,841557
2023-09-12,1558.900024,1558.900024,1527.650024,1542.449951,1541.477417,1444688
2023-09-13,1542.000000,1565.050049,1521.000000,1552.800049,1551.821045,1193072
2023-09-14,1556.949951,1563.599976,1541.199951,1550.900024,1549.922241,920905
2023-09-15,1548.050049,1567.599976,1531.300049,1538.099976,1537.130249,3116428
2023-09-18,1538.099976,1565.349976,1532.900024,1559.949951,1558.966431,1403635
2023-09-20,1554.900024,1568.199951,1545.099976,1553.349976,1552.370605,1076887
2023-09-21,1530.500000,1552.250000,1514.000000,1526.199951,1525.237671,1772341
2023-09-22,1528.000000,1551.000000,1524.900024,1543.699951,1542.726685,1321743
2023-09-25,1549.699951,1591.000000,1546.699951,1577.400024,1576.405518,2962182
2023-09-26,1583.000000,1583.000000,1551.000000,1567.699951,1566.711548,2472382
2023-09-27,1567.699951,1570.000000,1554.199951,1565.750000,1564.762817,964400
2023-09-28,1565.000000,1574.949951,1535.050049,1539.699951,1538.729126,831496
2023-09-29,1548.000000,1552.949951,1532.050049,1540.250000,1539.278931,1109857
2023-10-03,1530.250000,1564.199951,1527.000000,1561.050049,1560.065796,1083086
2023-10-04,1555.000000,1555.849976,1521.150024,1532.550049,1531.583740,1614123
2023-10-05,1540.000000,1556.000000,1532.300049,1542.550049,1541.577515,1153064
2023-10-06,1559.349976,1640.699951,1551.050049,1634.650024,1633.619385,7384628
2023-10-09,1617.150024,1628.000000,1606.599976,1621.550049,1620.527710,1712235
2023-10-10,1630.000000,1643.949951,1617.000000,1633.099976,1632.070313,1453653
2023-10-11,1641.400024,1650.949951,1633.500000,1636.550049,1635.518188,952433
2023-10-12,1637.000000,1642.949951,1622.849976,1634.800049,1633.769287,1052767
2023-10-13,1631.000000,1649.000000,1620.000000,1646.550049,1645.511963,1212989
2023-10-16,1644.000000,1649.400024,1630.400024,1642.349976,1641.314453,859548
2023-10-17,1649.900024,1676.750000,1645.550049,1657.650024,1656.604858,1689224
2023-10-18,1665.000000,1665.000000,1622.050049,1628.199951,1627.173340,1230439
2023-10-19,1625.000000,1642.949951,1597.400024,1634.750000,1633.719238,1429935
2023-10-20,1627.800049,1639.750000,1615.000000,1635.050049,1634.019165,1191783
2023-10-23,1627.000000,1651.699951,1605.500000,1613.150024,1612.132935,1093182
2023-10-25,1612.900024,1630.000000,1598.849976,1611.449951,1610.433960,1490405
2023-10-26,1590.000000,1608.400024,1552.000000,1560.000000,1559.016479,1780025
2023-10-27,1575.599976,1593.250000,1551.349976,1566.400024,1565.412354,2003579
2023-10-30,1568.900024,1571.099976,1528.000000,1561.099976,1560.115723,850025
2023-10-31,1552.400024,1581.449951,1552.400024,1569.550049,1568.560425,1592788
2023-11-01,1574.900024,1580.000000,1565.000000,1572.849976,1571.858276,770557
2023-11-02,1587.699951,1592.599976,1566.099976,1575.599976,1574.606567,1020303
2023-11-03,1584.250000,1593.650024,1527.900024,1536.150024,1535.181519,2519096
2023-11-06,1547.000000,1566.000000,1540.000000,1564.400024,1563.413696,917415
2023-11-07,1602.000000,1607.800049,1550.000000,1569.800049,1568.810303,2532282
2023-11-08,1576.000000,1579.949951,1559.199951,1575.500000,1574.506592,831310
2023-11-09,1575.000000,1589.000000,1569.000000,1582.250000,1581.252441,1108425
2023-11-10,1581.000000,1598.800049,1572.650024,1596.000000,1594.993774,672720
2023-11-13,1594.599976,1597.949951,1568.699951,1585.199951,1584.200439,853825
2023-11-15,1600.000000,1615.000000,1579.949951,1587.050049,1586.049438,1684967
2023-11-16,1561.050049,1628.000000,1539.050049,1620.650024,1619.628174,3213352
2023-11-17,1593.050049,1620.650024,1581.599976,1615.900024,1614.881226,1783393
